muestras,anio,fecha,hora_inicio,hora_fin,dema_int,dem_inst,aniomovil
6350,2018,23-may,13,14,9738.028243,9854.521484,1
6351,2018,23-may,14,15,9630.608795,9570.181641,1
6352,2018,23-may,15,16,9701.646453,9588.000977,1
6353,2018,23-may,16,17,9741.231075,9666.994141,1
6354,2018,23-may,17,18,9589.038095,9684.414063,1
6355,2018,23-may,18,19,9272.515869,9509.922852,1
6356,2018,23-may,19,20,8963.360483,9121.150391,1
6357,2018,23-may,20,21,9003.865051,8710.525391,1
6358,2018,23-may,21,22,9359.564249,9355.867188,1
6359,2018,23-may,22,23,9266.795855,9261.485352,1
6360,2018,23-may,23,24,8967.577572,9261.347656,1
6361,2018,24-may,0,1,8500.2907,8701.806641,1
6362,2018,24-may,1,2,8205.506836,8313.49707,1
6363,2018,24-may,2,3,8006.125534,8108.512695,1
6364,2018,24-may,3,4,7852.757259,7996.832031,1
6365,2018,24-may,4,5,7859.005179,7795.161621,1
6366,2018,24-may,5,6,7940.803363,7799.523438,1
6367,2018,24-may,6,7,8284.814322,7966.370605,1
6368,2018,24-may,7,8,8575.675401,8450.907227,1
6369,2018,24-may,8,9,9011.128279,8797.868164,1
6370,2018,24-may,9,10,9407.439475,9157.511719,1
6371,2018,24-may,10,11,9610.566678,9566.242188,1
6372,2018,24-may,11,12,9742.261242,9790.269531,1
6373,2018,24-may,12,13,9864.166469,9813.943359,1
6374,2018,24-may,13,14,9928.834994,9842.132813,1
6375,2018,24-may,14,15,9891.884775,9798.287109,1
6376,2018,24-may,15,16,9867.508483,9865.12207,1
6377,2018,24-may,16,17,9916.03807,9756.527344,1
6378,2018,24-may,17,18,9781.080815,9882.888672,1
6379,2018,24-may,18,19,9460.89198,9701.076172,1
6380,2018,24-may,19,20,9038.77955,9271.243164,1
6381,2018,24-may,20,21,9028.078079,8764.774414,1
6382,2018,24-may,21,22,9363.708234,9396.992188,1
6383,2018,24-may,22,23,9285.540848,9272.604492,1
6384,2018,24-may,23,24,9050.790442,9256.416992,1
6385,2018,25-may,0,1,8590.025446,8931.65625,1
6386,2018,25-may,1,2,8264.73198,8506.416016,1
6387,2018,25-may,2,3,8080.322434,8091.266602,1
6388,2018,25-may,3,4,7940.467544,8020.115234,1
6389,2018,25-may,4,5,7908.179652,7893.003418,1
6390,2018,25-may,5,6,7976.404946,7951.90625,1
6391,2018,25-may,6,7,8201.637998,8005.255859,1
6392,2018,25-may,7,8,8518.965659,8268.759766,1
6393,2018,25-may,8,9,9047.371791,8764.270508,1
6394,2018,25-may,9,10,9396.220336,9266.478516,1
6395,2018,25-may,10,11,9631.803169,9465.617188,1
6396,2018,25-may,11,12,9783.500095,9736.59668,1
6397,2018,25-may,12,13,9947.700658,9941.291016,1
6398,2018,25-may,13,14,10006.42413,10024.06641,1
6399,2018,25-may,14,15,9943.755188,10096.86914,1
6400,2018,25-may,15,16,9924.959492,9831.983398,1
6401,2018,25-may,16,17,9890.578595,9824.966797,1
6402,2018,25-may,17,18,9696.252979,9860.064453,1
6403,2018,25-may,18,19,9335.333689,9575.257813,1
6404,2018,25-may,19,20,9005.079088,9176.6875,1
6405,2018,25-may,20,21,8911.381221,8711.220703,1
6406,2018,25-may,21,22,9214.047637,9236.601563,1
6407,2018,25-may,22,23,9160.004013,9111.001953,1
6408,2018,25-may,23,24,8915.951766,9144.605469,1
6409,2018,26-may,0,1,8484.343273,8756.054688,1
6410,2018,26-may,1,2,8153.339177,8286.008789,1
6411,2018,26-may,2,3,7928.812402,8058.572754,1
6412,2018,26-may,3,4,7863.779105,7866.67041,1
6413,2018,26-may,4,5,7819.089547,7899.129883,1
6414,2018,26-may,5,6,7840.960773,7833.782227,1
6415,2018,26-may,6,7,7969.855137,7863.232422,1
6416,2018,26-may,7,8,8103.816756,7958.024414,1
6417,2018,26-may,8,9,8538.826774,8390.164063,1
6418,2018,26-may,9,10,8936.001077,8683.731445,1
6419,2018,26-may,10,11,9151.241646,8960.654297,1
6420,2018,26-may,11,12,9317.261732,9266.979492,1
6421,2018,26-may,12,13,9368.539625,9363.834961,1
6422,2018,26-may,13,14,9278.169655,9192.305664,1
6423,2018,26-may,14,15,9100.981755,9165.571289,1
6424,2018,26-may,15,16,8965.992223,8990.079102,1
6425,2018,26-may,16,17,8885.003893,8994.416992,1
6426,2018,26-may,17,18,8808.631854,8885.84668,1
6427,2018,26-may,18,19,8708.177644,8776.356445,1
6428,2018,26-may,19,20,8559.674804,8662.702148,1
6429,2018,26-may,20,21,8781.422083,8386.259766,1
6430,2018,26-may,21,22,9134.544347,9157.34082,1
6431,2018,26-may,22,23,8866.162444,9058.583984,1
6432,2018,26-may,23,24,8498.122279,8539.15332,1
6433,2018,27-may,0,1,8083.26888,8388.154297,1
6434,2018,27-may,1,2,7731.755248,7823.303223,1
6435,2018,27-may,2,3,7466.379059,7659.336914,1
6436,2018,27-may,3,4,7333.339155,7443.649414,1
6437,2018,27-may,4,5,7268.193411,7276.543945,1
6438,2018,27-may,5,6,7191.796915,7262.556641,1
6439,2018,27-may,6,7,7177.769171,7145.679199,1
6440,2018,27-may,7,8,7051.587071,7060.390625,1
6441,2018,27-may,8,9,7189.662086,7149.352539,1
6442,2018,27-may,9,10,7425.267594,7256.066406,1
6443,2018,27-may,10,11,7619.559889,7542.461914,1
6444,2018,27-may,11,12,7761.448665,7625.648438,1
6445,2018,27-may,12,13,7747.466064,7703.02832,1
6446,2018,27-may,13,14,7855.966442,7794.472168,1
6447,2018,27-may,14,15,7789.320573,7919.870117,1
6448,2018,27-may,15,16,7804.620218,7762.242188,1
6449,2018,27-may,16,17,7761.772463,7731.347656,1
6450,2018,27-may,17,18,7731.238117,7754.087891,1
6451,2018,27-may,18,19,7719.981982,7682.445313,1
6452,2018,27-may,19,20,7686.96488,7621.64209,1
6453,2018,27-may,20,21,8097.789886,7706.686523,1
6454,2018,27-may,21,22,8601.935467,8639.442383,1
6455,2018,27-may,22,23,8437.935815,8439.833008,1
6456,2018,27-may,23,24,8040.10239,8314.195313,1
6457,2018,28-may,0,1,7638.191573,7846.410156,1
6458,2018,28-may,1,2,7356.909695,7441.571289,1
6459,2018,28-may,2,3,7184.377849,7188.188965,1
6460,2018,28-may,3,4,7121.238598,7109.529297,1
6461,2018,28-may,4,5,7111.493561,7164.375977,1
6462,2018,28-may,5,6,7259.725533,7155.481934,1
6463,2018,28-may,6,7,7771.288808,7438.750977,1
6464,2018,28-may,7,8,8240.529869,8049.244629,1
6465,2018,28-may,8,9,8808.567262,8485.161133,1
6466,2018,28-may,9,10,9207.743151,9053.455078,1
6467,2018,28-may,10,11,9491.178595,9404.269531,1
6468,2018,28-may,11,12,9740.804365,9672.757813,1
6469,2018,28-may,12,13,9906.311702,9796.246094,1
6470,2018,28-may,13,14,9991.768651,9999.564453,1
6471,2018,28-may,14,15,9996.651751,9930.084961,1
6472,2018,28-may,15,16,10009.70276,10107.09668,1
6473,2018,28-may,16,17,10051.1851,10082.33789,1
6474,2018,28-may,17,18,9923.030117,9944.0625,1
6475,2018,28-may,18,19,9606.722819,9720.523438,1
6476,2018,28-may,19,20,9279.800834,9555.648438,1
6477,2018,28-may,20,21,9251.05927,9081.324219,1
6478,2018,28-may,21,22,9635.143555,9617.345703,1
6479,2018,28-may,22,23,9502.49874,9544.052734,1
6480,2018,28-may,23,24,9279.102463,9462.842773,1
6481,2018,29-may,0,1,8777.762651,8967.095703,1
6482,2018,29-may,1,2,8434.91705,8529.938477,1
6483,2018,29-may,2,3,8225.352115,8364.973633,1
6484,2018,29-may,3,4,8121.311377,8103.783203,1
6485,2018,29-may,4,5,8099.647402,8092.135254,1
6486,2018,29-may,5,6,8162.732685,8118.791992,1
6487,2018,29-may,6,7,8441.785043,8234.918945,1
6488,2018,29-may,7,8,8786.592402,8580.46875,1
6489,2018,29-may,8,9,9218.481704,8798.514648,1
6490,2018,29-may,9,10,9651.732476,9492.423828,1
6491,2018,29-may,10,11,9807.26622,9852.486328,1
6492,2018,29-may,11,12,9989.430244,9827.213867,1
6493,2018,29-may,12,13,10202.16642,10035.20508,1
6494,2018,29-may,13,14,10287.25845,10236.73926,1
6495,2018,29-may,14,15,10206.69069,10203.23828,1
6496,2018,29-may,15,16,10222.77303,10138.50391,1
6497,2018,29-may,16,17,10251.21803,10175.74219,1
6498,2018,29-may,17,18,10105.31627,10277.98828,1
6499,2018,29-may,18,19,9787.698247,10016.84863,1
6500,2018,29-may,19,20,9422.525089,9492.441406,1
6501,2018,29-may,20,21,9337.680136,9146.213867,1
6502,2018,29-may,21,22,9588.596157,9616.325195,1
6503,2018,29-may,22,23,9484.597232,9515.275391,1
6504,2018,29-may,23,24,9249.857431,9454.919922,1
6505,2018,30-may,0,1,8766.783127,8982.041992,1
6506,2018,30-may,1,2,8473.176845,8525.717773,1
6507,2018,30-may,2,3,8284.274272,8442.859375,1
6508,2018,30-may,3,4,8148.18783,8261.326172,1
6509,2018,30-may,4,5,8128.906127,8087.188477,1
6510,2018,30-may,5,6,8210.98047,8223.732422,1
6511,2018,30-may,6,7,8500.31915,8331.630859,1
6512,2018,30-may,7,8,8774.044498,8553.939453,1
6513,2018,30-may,8,9,9279.017566,9006.244141,1
6514,2018,30-may,9,10,9646.010575,9480.81543,1
6515,2018,30-may,10,11,9843.888093,9765.880859,1
6516,2018,30-may,11,12,10002.757,9881.9375,1
6517,2018,30-may,12,13,10208.37788,10069.25977,1
6518,2018,30-may,13,14,10206.91693,10299.03809,1
6519,2018,30-may,14,15,10072.67545,10193.66113,1
6520,2018,30-may,15,16,10034.35872,9991.261719,1
6521,2018,30-may,16,17,10062.27263,10066.17871,1
6522,2018,30-may,17,18,9986.505062,10009.9707,1
6523,2018,30-may,18,19,9718.461926,9808.916016,1
6524,2018,30-may,19,20,9394.380962,9592.306641,1
6525,2018,30-may,20,21,9346.474117,9123.563477,1
6526,2018,30-may,21,22,9697.905735,9709.078125,1
6527,2018,30-may,22,23,9694.761618,9650.694336,1
6528,2018,30-may,23,24,9476.408211,9737.28125,1
6529,2018,31-may,0,1,9010.004708,9325.699219,1
6530,2018,31-may,1,2,8662.626478,8784.385742,1
6531,2018,31-may,2,3,8424.817914,8538.167969,1
6532,2018,31-may,3,4,8309.153733,8436.300781,1
6533,2018,31-may,4,5,8293.056024,8273.492188,1
6534,2018,31-may,5,6,8325.831461,8281.543945,1
6535,2018,31-may,6,7,8598.990154,8328.78125,1
6536,2018,31-may,7,8,8885.85998,8747.319336,1
6537,2018,31-may,8,9,9363.685777,9112.196289,1
6538,2018,31-may,9,10,9737.660877,9558.360352,1
6539,2018,31-may,10,11,9956.070296,9707.180664,1
6540,2018,31-may,11,12,10064.93461,10015.64648,1
6541,2018,31-may,12,13,10181.47298,10156.74316,1
6542,2018,31-may,13,14,10264.25444,10223.03906,1
6543,2018,31-may,14,15,10259.6952,10196.93066,1
6544,2018,31-may,15,16,10249.30835,10194.40625,1
6545,2018,31-may,16,17,10277.95186,10322.52344,1
6546,2018,31-may,17,18,10226.77984,10261.91992,1
6547,2018,31-may,18,19,9849.053145,10179.04688,1
6548,2018,31-may,19,20,9473.350392,9642.970703,1
6549,2018,31-may,20,21,9359.21722,9156.140625,1
6550,2018,31-may,21,22,9710.325265,9698.154297,1
6551,2018,31-may,22,23,9680.514051,9676.375,1
6552,2018,31-may,23,24,9455.956402,9701.137695,1
6553,2018,01-jun,0,1,8933.217419,9170.556641,1
6554,2018,01-jun,1,2,8599.166129,8623.839844,1
6555,2018,01-jun,2,3,8399.717889,8498.838867,1
6556,2018,01-jun,3,4,8284.236053,8342.083984,1
6557,2018,01-jun,4,5,8228.121415,8270.195313,1
6558,2018,01-jun,5,6,8283.896889,8267.803711,1
6559,2018,01-jun,6,7,8560.561366,8348.695313,1
6560,2018,01-jun,7,8,8833.500516,8701.951172,1
6561,2018,01-jun,8,9,9301.164401,8994.957031,1
6562,2018,01-jun,9,10,9668.145886,9445.004883,1
6563,2018,01-jun,10,11,9875.554187,9841.922852,1
6564,2018,01-jun,11,12,10059.18613,9914.337891,1
6565,2018,01-jun,12,13,10180.08617,10134.29688,1
6566,2018,01-jun,13,14,10184.8441,10192.38574,1
6567,2018,01-jun,14,15,10156.62611,9997.085938,1
6568,2018,01-jun,15,16,10185.93414,10120.36523,1
6569,2018,01-jun,16,17,10201.7948,10190.58984,1
6570,2018,01-jun,17,18,9988.167307,10082.58301,1
6571,2018,01-jun,18,19,9634.799231,9806.494141,1
6572,2018,01-jun,19,20,9267.484735,9407.335938,1
6573,2018,01-jun,20,21,9155.328583,9070.09375,1
6574,2018,01-jun,21,22,9508.719539,9526.337891,1
6575,2018,01-jun,22,23,9458.725317,9441.532227,1
6576,2018,01-jun,23,24,9252.564602,9419.916016,1
6577,2018,02-jun,0,1,8776.760964,9066.923828,1
6578,2018,02-jun,1,2,8501.785602,8645.795898,1
6579,2018,02-jun,2,3,8326.815476,8469.011719,1
6580,2018,02-jun,3,4,8219.445124,8336.738281,1
6581,2018,02-jun,4,5,8199.673077,8275.154297,1
6582,2018,02-jun,5,6,8156.175639,8202.804688,1
6583,2018,02-jun,6,7,8249.893693,8102.467773,1
6584,2018,02-jun,7,8,8358.993674,8160.006836,1
6585,2018,02-jun,8,9,8837.00283,8646.817383,1
6586,2018,02-jun,9,10,9201.184266,9033.326172,1
6587,2018,02-jun,10,11,9358.143533,9381.269531,1
6588,2018,02-jun,11,12,9502.159146,9307.304688,1
6589,2018,02-jun,12,13,9587.66252,9606.887695,1
6590,2018,02-jun,13,14,9484.817615,9517.666992,1
6591,2018,02-jun,14,15,9289.43761,9405.726563,1
6592,2018,02-jun,15,16,9117.313931,9239.324219,1
6593,2018,02-jun,16,17,9073.958874,9138.398438,1
6594,2018,02-jun,17,18,8965.179289,9044.379883,1
6595,2018,02-jun,18,19,8763.559883,8856.610352,1
6596,2018,02-jun,19,20,8701.068313,8697.058594,1
6597,2018,02-jun,20,21,8949.665945,8514.75293,1
6598,2018,02-jun,21,22,9307.2351,9412.167969,1
6599,2018,02-jun,22,23,9002.668343,9271.358398,1
6600,2018,02-jun,23,24,8581.746434,8824.234375,1
6601,2018,03-jun,0,1,8163.425122,8388.208984,1
6602,2018,03-jun,1,2,7856.455798,7983.303223,1
6603,2018,03-jun,2,3,7650.662816,7788.083008,1
6604,2018,03-jun,3,4,7542.814384,7635.504883,1
6605,2018,03-jun,4,5,7445.3154,7499.098145,1
6606,2018,03-jun,5,6,7337.990669,7440.380859,1
6607,2018,03-jun,6,7,7321.982253,7271.412109,1
6608,2018,03-jun,7,8,7186.100383,7268.55957,1
6609,2018,03-jun,8,9,7346.547065,7121.977051,1
6610,2018,03-jun,9,10,7559.300126,7442.0625,1
6611,2018,03-jun,10,11,7710.779214,7646.305664,1
6612,2018,03-jun,11,12,7837.796499,7863.657227,1
6613,2018,03-jun,12,13,7886.178669,7936.850098,1
6614,2018,03-jun,13,14,7913.559845,7953.87793,1
6615,2018,03-jun,14,15,7879.725515,7922.987305,1
6616,2018,03-jun,15,16,7898.699893,7922.73877,1
6617,2018,03-jun,16,17,7897.652698,7890.023438,1
6618,2018,03-jun,17,18,7820.545912,7908.148438,1
6619,2018,03-jun,18,19,7833.402314,7819.555664,1
6620,2018,03-jun,19,20,7816.507796,7900.902344,1
6621,2018,03-jun,20,21,8147.914375,7740.13916,1
6622,2018,03-jun,21,22,8710.918475,8645.638672,1
6623,2018,03-jun,22,23,8572.833737,8740.921875,1
6624,2018,03-jun,23,24,8176.357553,8491.060547,1
6625,2018,04-jun,0,1,7682.809426,7852.5,1
6626,2018,04-jun,1,2,7457.849533,7497.747559,1
6627,2018,04-jun,2,3,7296.458719,7399.420898,1
6628,2018,04-jun,3,4,7217.043834,7239.869141,1
6629,2018,04-jun,4,5,7207.12543,7138.808594,1
6630,2018,04-jun,5,6,7312.12862,7242.650879,1
6631,2018,04-jun,6,7,7778.997737,7483.039063,1
6632,2018,04-jun,7,8,8254.748045,8073.758789,1
6633,2018,04-jun,8,9,8775.560079,8480.238281,1
6634,2018,04-jun,9,10,9264.414788,8927.998047,1
6635,2018,04-jun,10,11,9482.865068,9451.054688,1
6636,2018,04-jun,11,12,9704.212933,9547.039063,1
6637,2018,04-jun,12,13,9814.678004,9784.763672,1
6638,2018,04-jun,13,14,9925.476535,9964.621094,1
6639,2018,04-jun,14,15,9936.472892,9951.72168,1
6640,2018,04-jun,15,16,10000.43726,9992.544922,1
6641,2018,04-jun,16,17,9997.698844,9972.443359,1
6642,2018,04-jun,17,18,9911.792028,9990.948242,1
6643,2018,04-jun,18,19,9600.574973,9821.757813,1
6644,2018,04-jun,19,20,9218.085013,9441.591797,1
6645,2018,04-jun,20,21,9117.743144,8882.332031,1
6646,2018,04-jun,21,22,9552.299587,9519.827148,1
6647,2018,04-jun,22,23,9508.26467,9510.214844,1
6648,2018,04-jun,23,24,9226.441934,9574.607422,1
6649,2018,05-jun,0,1,8751.573307,9004.427734,1
6650,2018,05-jun,1,2,8411.71106,8472.321289,1
6651,2018,05-jun,2,3,8253.694485,8233.854492,1
6652,2018,05-jun,3,4,8154.885228,8216.228516,1
6653,2018,05-jun,4,5,8143.052885,8054.823242,1
6654,2018,05-jun,5,6,8158.265631,8235.15918,1
6655,2018,05-jun,6,7,8503.838594,8142.633789,1
6656,2018,05-jun,7,8,8808.638329,8671.947266,1
6657,2018,05-jun,8,9,9263.556248,9005.733398,1
6658,2018,05-jun,9,10,9605.158046,9479.994141,1
6659,2018,05-jun,10,11,9775.777744,9756.983398,1
6660,2018,05-jun,11,12,9923.113411,9854.658203,1
6661,2018,05-jun,12,13,10055.67269,9876.198242,1
6662,2018,05-jun,13,14,10116.252,10080.76172,1
6663,2018,05-jun,14,15,10077.53716,10141.10938,1
6664,2018,05-jun,15,16,10083.67713,10088.1084,1
6665,2018,05-jun,16,17,10129.01574,10056.48242,1
6666,2018,05-jun,17,18,9988.986724,10135.41113,1
6667,2018,05-jun,18,19,9616.666323,9792.039063,1
6668,2018,05-jun,19,20,9322.128869,9394.603516,1
6669,2018,05-jun,20,21,9200.72775,9038.580078,1
6670,2018,05-jun,21,22,9604.177428,9569.953125,1
6671,2018,05-jun,22,23,9563.047583,9562.033203,1
6672,2018,05-jun,23,24,9259.90627,9407.944336,1
6673,2018,06-jun,0,1,8757.487401,9074.757813,1
6674,2018,06-jun,1,2,8397.642429,8493.951172,1
6675,2018,06-jun,2,3,8291.523867,8343.671875,1
6676,2018,06-jun,3,4,8224.905202,8341.820313,1
6677,2018,06-jun,4,5,8169.73095,8093.270508,1
6678,2018,06-jun,5,6,8247.238076,8136.146484,1
6679,2018,06-jun,6,7,8535.819248,8380.560547,1
6680,2018,06-jun,7,8,8830.09842,8652.881836,1
6681,2018,06-jun,8,9,9220.603768,8953.662109,1
6682,2018,06-jun,9,10,9597.555363,9255.625,1
6683,2018,06-jun,10,11,9725.211819,9645.820313,1
6684,2018,06-jun,11,12,9944.241118,9934.304688,1
6685,2018,06-jun,12,13,10069.62499,9972.768555,1
6686,2018,06-jun,13,14,10138.8515,10130.56055,1
6687,2018,06-jun,14,15,10076.89418,9984.431641,1
6688,2018,06-jun,15,16,10074.15637,9969.617188,1
6689,2018,06-jun,16,17,10109.55921,10158.19141,1
6690,2018,06-jun,17,18,9905.847095,10140.39648,1
6691,2018,06-jun,18,19,9590.362512,9808.208984,1
6692,2018,06-jun,19,20,9245.565056,9410.142578,1
6693,2018,06-jun,20,21,9154.540123,8984.661133,1
6694,2018,06-jun,21,22,9491.990275,9486.510742,1
6695,2018,06-jun,22,23,9330.214021,9426.301758,1
6696,2018,06-jun,23,24,8961.129093,9143.931641,1
6697,2018,07-jun,0,1,8603.998198,8704.036133,1
6698,2018,07-jun,1,2,8328.530909,8528.494141,1
6699,2018,07-jun,2,3,8180.271237,8218.185547,1
6700,2018,07-jun,3,4,8048.290378,8130.229004,1
6701,2018,07-jun,4,5,8070.288838,8012.844727,1
6702,2018,07-jun,5,6,8120.087063,8043.750977,1
6703,2018,07-jun,6,7,8438.616703,8148.549316,1
6704,2018,07-jun,7,8,8706.763213,8572.363281,1
6705,2018,07-jun,8,9,9189.594288,8865.126953,1
6706,2018,07-jun,9,10,9571.592284,9284.693359,1
6707,2018,07-jun,10,11,9693.569127,9728.144531,1
6708,2018,07-jun,11,12,9860.531585,9779.298828,1
6709,2018,07-jun,12,13,9968.558277,9886.40918,1
6710,2018,07-jun,13,14,10123.33471,9978.955078,1
6711,2018,07-jun,14,15,9971.667685,9983.087891,1
6712,2018,07-jun,15,16,9989.519183,9880.75293,1
6713,2018,07-jun,16,17,10040.91114,9954.671875,1
6714,2018,07-jun,17,18,9901.687574,9965.459961,1
6715,2018,07-jun,18,19,9572.426958,9765.545898,1
6716,2018,07-jun,19,20,9242.816479,9417.385742,1
6717,2018,07-jun,20,21,9183.505043,8947.078125,1
6718,2018,07-jun,21,22,9559.498541,9555.063477,1
6719,2018,07-jun,22,23,9431.35427,9467.005859,1
6720,2018,07-jun,23,24,9119.929237,9362.34082,1
6721,2018,08-jun,0,1,8629.608172,8840.420898,1
6722,2018,08-jun,1,2,8358.825071,8418.262695,1
6723,2018,08-jun,2,3,8124.159668,8130.160645,1
6724,2018,08-jun,3,4,8008.435603,7981.775391,1
6725,2018,08-jun,4,5,7952.960087,7967.993164,1
6726,2018,08-jun,5,6,8063.066888,7943.240723,1
6727,2018,08-jun,6,7,8370.062026,8128.177734,1
6728,2018,08-jun,7,8,8703.450866,8491.422852,1
6729,2018,08-jun,8,9,9120.958468,8806.923828,1
6730,2018,08-jun,9,10,9468.041177,9369.193359,1
6731,2018,08-jun,10,11,9646.313367,9565.319336,1
6732,2018,08-jun,11,12,9794.204355,9757.425781,1
6733,2018,08-jun,12,13,9860.931768,9705.287109,1
6734,2018,08-jun,13,14,9973.596821,10020.39941,1
6735,2018,08-jun,14,15,9883.684765,9942.387695,1
6736,2018,08-jun,15,16,9921.708772,9886.167969,1
6737,2018,08-jun,16,17,9962.093869,9994.008789,1
6738,2018,08-jun,17,18,9747.07354,9922.205078,1
6739,2018,08-jun,18,19,9380.461633,9499.882813,1
6740,2018,08-jun,19,20,9061.488512,9211.205078,1
6741,2018,08-jun,20,21,8919.172862,8659.486328,1
6742,2018,08-jun,21,22,9257.75824,9256.649414,1
6743,2018,08-jun,22,23,9196.381341,9164.964844,1
6744,2018,08-jun,23,24,8960.045592,9132.87793,1
6745,2018,09-jun,0,1,8573.530202,8886.414063,1
6746,2018,09-jun,1,2,8271.926373,8418.324219,1
6747,2018,09-jun,2,3,8076.286921,8205.630859,1
6748,2018,09-jun,3,4,7955.351961,8069.612793,1
6749,2018,09-jun,4,5,7927.70603,7913.570801,1
6750,2018,09-jun,5,6,7918.592618,7920.860352,1
6751,2018,09-jun,6,7,8034.641948,8015.180664,1
6752,2018,09-jun,7,8,8168.395929,8119.535156,1
6753,2018,09-jun,8,9,8595.314341,8423.510742,1
6754,2018,09-jun,9,10,8946.717201,8823.103516,1
6755,2018,09-jun,10,11,9111.857182,9029.223633,1
6756,2018,09-jun,11,12,9233.784784,9215.901367,1
6757,2018,09-jun,12,13,9327.626685,9373.821289,1
6758,2018,09-jun,13,14,9314.214227,9346.844727,1
6759,2018,09-jun,14,15,9066.371346,9279.633789,1
6760,2018,09-jun,15,16,8900.729823,8861.199219,1
6761,2018,09-jun,16,17,8860.758816,8856.212891,1
6762,2018,09-jun,17,18,8735.549295,8880.751953,1
6763,2018,09-jun,18,19,8560.087288,8667.385742,1
6764,2018,09-jun,19,20,8439.854157,8448.483398,1
6765,2018,09-jun,20,21,8631.361506,8343.871094,1
6766,2018,09-jun,21,22,8865.17665,8890.727539,1
6767,2018,09-jun,22,23,8616.424314,8791.27832,1
6768,2018,09-jun,23,24,8205.443245,8544.436523,1
6769,2018,10-jun,0,1,7775.042872,7908.802246,1
6770,2018,10-jun,1,2,7504.529081,7527.670898,1
6771,2018,10-jun,2,3,7326.729934,7475.636719,1
6772,2018,10-jun,3,4,7171.772039,7305.608398,1
6773,2018,10-jun,4,5,7138.04396,7160.746094,1
6774,2018,10-jun,5,6,7077.305866,7118.308594,1
6775,2018,10-jun,6,7,7052.518933,6948.485352,1
6776,2018,10-jun,7,8,6917.377387,6935.888672,1
6777,2018,10-jun,8,9,7018.753227,6935.203125,1
6778,2018,10-jun,9,10,7287.4478,7091.155762,1
6779,2018,10-jun,10,11,7434.658922,7408.999023,1
6780,2018,10-jun,11,12,7518.785324,7525.92627,1
6781,2018,10-jun,12,13,7555.511129,7461.602539,1
6782,2018,10-jun,13,14,7576.802838,7542.977539,1
6783,2018,10-jun,14,15,7585.659286,7571.394531,1
6784,2018,10-jun,15,16,7564.958785,7590.28125,1
6785,2018,10-jun,16,17,7576.580897,7473.197754,1
6786,2018,10-jun,17,18,7555.992031,7580.764648,1
6787,2018,10-jun,18,19,7496.178987,7508.452148,1
6788,2018,10-jun,19,20,7498.16911,7490.388672,1
6789,2018,10-jun,20,21,7869.574168,7621.411133,1
6790,2018,10-jun,21,22,8272.072707,8224.056641,1
6791,2018,10-jun,22,23,8116.195832,8276.770508,1
6792,2018,10-jun,23,24,7675.870062,7770.900879,1
6793,2018,11-jun,0,1,7196.891799,7437.287109,1
6794,2018,11-jun,1,2,6986.365947,7004.182129,1
6795,2018,11-jun,2,3,6893.628523,6934.042969,1
6796,2018,11-jun,3,4,6800.239296,6798.224121,1
6797,2018,11-jun,4,5,6845.826103,6731.225098,1
6798,2018,11-jun,5,6,7005.129083,6920.379883,1
6799,2018,11-jun,6,7,7417.407678,7061.856934,1
6800,2018,11-jun,7,8,7949.310962,7650.696289,1
6801,2018,11-jun,8,9,8533.35146,8309.713867,1
6802,2018,11-jun,9,10,8925.046109,8741.757813,1
6803,2018,11-jun,10,11,9157.946056,9026.076172,1
6804,2018,11-jun,11,12,9394.46958,9300.161133,1
6805,2018,11-jun,12,13,9474.890455,9475.643555,1
6806,2018,11-jun,13,14,9540.052928,9505.634766,1
6807,2018,11-jun,14,15,9533.106572,9491.470703,1
6808,2018,11-jun,15,16,9523.130314,9531.428711,1
6809,2018,11-jun,16,17,9465.464922,9578.324219,1
6810,2018,11-jun,17,18,9332.791383,9516.896484,1
6811,2018,11-jun,18,19,9008.320057,9174.147461,1
6812,2018,11-jun,19,20,8682.363038,8839.71875,1
6813,2018,11-jun,20,21,8677.934071,8463.550781,1
6814,2018,11-jun,21,22,8822.365471,8907.34375,1
6815,2018,11-jun,22,23,8649.157824,8681.072266,1
6816,2018,11-jun,23,24,8344.474155,8699.071289,1
6817,2018,12-jun,0,1,7859.401757,8100.625,1
6818,2018,12-jun,1,2,7611.017812,7649.199219,1
6819,2018,12-jun,2,3,7460.14035,7488.626953,1
6820,2018,12-jun,3,4,7326.675199,7353.714844,1
6821,2018,12-jun,4,5,7282.957077,7227.571289,1
6822,2018,12-jun,5,6,7386.434435,7379.880859,1
6823,2018,12-jun,6,7,7699.035187,7378.816895,1
6824,2018,12-jun,7,8,8032.402031,7858.488281,1
6825,2018,12-jun,8,9,8416.119059,8117.955566,1
6826,2018,12-jun,9,10,8736.023196,8650.03125,1
6827,2018,12-jun,10,11,8891.827797,8828.267578,1
6828,2018,12-jun,11,12,9043.520769,8948.099609,1
6829,2018,12-jun,12,13,9143.132007,9008.751953,1
6830,2018,12-jun,13,14,9222.263893,9189.15625,1
6831,2018,12-jun,14,15,9147.980135,9166.275391,1
6832,2018,12-jun,15,16,9174.874623,9191.162109,1
6833,2018,12-jun,16,17,9172.858668,9155.021484,1
6834,2018,12-jun,17,18,8990.108793,9127.355469,1
6835,2018,12-jun,18,19,8678.015854,8748.15918,1
6836,2018,12-jun,19,20,8403.062056,8593.303711,1
6837,2018,12-jun,20,21,8384.132473,8171.435547,1
