muestras,anio,fecha,hora_inicio,hora_fin,dema_int,dem_inst,aniomovil
99,2017,05-sep,2,3,6505.227678,6661.506348,1
100,2017,05-sep,3,4,6483.619702,6533.61084,1
101,2017,05-sep,4,5,6514.137323,6556.078613,1
102,2017,05-sep,5,6,6569.23043,6573.383789,1
103,2017,05-sep,6,7,6964.83111,6657.460938,1
104,2017,05-sep,7,8,7427.948038,7181.884766,1
105,2017,05-sep,8,9,7620.679056,7417.657227,1
106,2017,05-sep,9,10,7923.023659,7828.816406,1
107,2017,05-sep,10,11,8013.203091,8022.060547,1
108,2017,05-sep,11,12,8012.345147,7995.110352,1
109,2017,05-sep,12,13,8030.343936,7932.338867,1
110,2017,05-sep,13,14,8095.140073,8064.96875,1
111,2017,05-sep,14,15,8069.287481,7997.65625,1
112,2017,05-sep,15,16,8036.558306,8037.602539,1
113,2017,05-sep,16,17,8021.525023,8048.877441,1
114,2017,05-sep,17,18,7934.04254,7999.638672,1
115,2017,05-sep,18,19,7726.458309,7872.697754,1
116,2017,05-sep,19,20,7424.79018,7493.778809,1
117,2017,05-sep,20,21,7811.487691,7460.697266,1
118,2017,05-sep,21,22,7772.348596,7893.660156,1
119,2017,05-sep,22,23,7571.817489,7585.049316,1
120,2017,05-sep,23,24,7130.387013,7454.201172,1
121,2017,06-sep,0,1,6766.416382,6834.09375,1
122,2017,06-sep,1,2,6576.914574,6701.842773,1
123,2017,06-sep,2,3,6428.98284,6533.066406,1
124,2017,06-sep,3,4,6376.756329,6496.853516,1
125,2017,06-sep,4,5,6399.612176,6446.365234,1
126,2017,06-sep,5,6,6490.106075,6326.131836,1
127,2017,06-sep,6,7,6848.935929,6616.80127,1
128,2017,06-sep,7,8,7348.912816,7108.529297,1
129,2017,06-sep,8,9,7582.866967,7372.568359,1
130,2017,06-sep,9,10,7841.212725,7722.685547,1
131,2017,06-sep,10,11,7875.53524,7898.969727,1
132,2017,06-sep,11,12,7890.459108,7863.749512,1
133,2017,06-sep,12,13,7935.225906,7861.412109,1
134,2017,06-sep,13,14,7935.312165,7944.657227,1
135,2017,06-sep,14,15,7859.396106,7886.800781,1
136,2017,06-sep,15,16,7825.346026,7815.617188,1
137,2017,06-sep,16,17,7826.202271,7855.380859,1
138,2017,06-sep,17,18,7743.530114,7788.131836,1
139,2017,06-sep,18,19,7469.685818,7630.075684,1
140,2017,06-sep,19,20,7335.077487,7270.303711,1
141,2017,06-sep,20,21,7781.756231,7523.162109,1
142,2017,06-sep,21,22,7690.961126,7840.961914,1
143,2017,06-sep,22,23,7490.000958,7490.919922,1
144,2017,06-sep,23,24,7099.421676,7418.17334,1
145,2017,07-sep,0,1,6761.991901,6952.27832,1
146,2017,07-sep,1,2,6553.147017,6733.029297,1
147,2017,07-sep,2,3,6464.809352,6505.12793,1
148,2017,07-sep,3,4,6335.514566,6357.769531,1
149,2017,07-sep,4,5,6311.889763,6309.866699,1
150,2017,07-sep,5,6,6426.355729,6180.619141,1
151,2017,07-sep,6,7,6808.933889,6501.055664,1
152,2017,07-sep,7,8,7266.904403,6930.724121,1
153,2017,07-sep,8,9,7489.605046,7209.448242,1
154,2017,07-sep,9,10,7780.710337,7762.896484,1
155,2017,07-sep,10,11,7868.174368,7964.961914,1
156,2017,07-sep,11,12,7951.844966,7959.263672,1
157,2017,07-sep,12,13,8069.340564,8058.378906,1
158,2017,07-sep,13,14,8076.725329,7977.277832,1
159,2017,07-sep,14,15,7989.619275,8029.203613,1
160,2017,07-sep,15,16,7994.788666,8053.485352,1
161,2017,07-sep,16,17,7966.597093,7956.663086,1
162,2017,07-sep,17,18,7856.295143,7909.084473,1
163,2017,07-sep,18,19,7574.361574,7704.364258,1
164,2017,07-sep,19,20,7303.568614,7396.256836,1
165,2017,07-sep,20,21,7799.317482,7462.385254,1
166,2017,07-sep,21,22,7783.282022,7909.40918,1
167,2017,07-sep,22,23,7569.39113,7604.388672,1
168,2017,07-sep,23,24,7140.173599,7502.512695,1
169,2017,08-sep,0,1,6638.63778,6917.152344,1
170,2017,08-sep,1,2,6426.728142,6554.100098,1
171,2017,08-sep,2,3,6271.675668,6364.182129,1
172,2017,08-sep,3,4,6185.028502,6164.886719,1
173,2017,08-sep,4,5,6226.055119,6203.540039,1
174,2017,08-sep,5,6,6277.141282,6262.19873,1
175,2017,08-sep,6,7,6697.962424,6389.097656,1
176,2017,08-sep,7,8,7184.727319,6964.639648,1
177,2017,08-sep,8,9,7414.208909,7191.40625,1
178,2017,08-sep,9,10,7690.656242,7604.029297,1
179,2017,08-sep,10,11,7807.784372,7788.668945,1
180,2017,08-sep,11,12,7910.341749,7880.387695,1
181,2017,08-sep,12,13,8021.651484,7947.577148,1
182,2017,08-sep,13,14,8069.349159,8015.652344,1
183,2017,08-sep,14,15,8003.684095,8057.40918,1
184,2017,08-sep,15,16,7950.337051,7844.892578,1
