Hora,Demanda,,,03OCC   .CR-CARGA AREA           .AV
20-jun-19 00:00:00,8544.2392578125,,,6/20/19 0:00
20-jun-19 00:00:02,8538.705078125,,,6/21/19 0:00
20-jun-19 00:00:04,8556.3330078125,,,2 s
20-jun-19 00:00:06,8563.1953125,,,
20-jun-19 00:00:08,8559.34375,,,
20-jun-19 00:00:10,8559.34375,,,
20-jun-19 00:00:12,8569.7333984375,,,
20-jun-19 00:00:14,8559.599609375,,,
20-jun-19 00:00:16,8553.21484375,,,
20-jun-19 00:00:18,8553.21484375,,,
20-jun-19 00:00:20,8548.369140625,,,
20-jun-19 00:00:22,8564.248046875,,,
20-jun-19 00:00:24,8561.48828125,,,
20-jun-19 00:00:26,8561.48828125,,,
20-jun-19 00:00:28,8564.28125,,,
20-jun-19 00:00:30,8564.28125,,,
20-jun-19 00:00:32,8579.8154296875,,,
20-jun-19 00:00:34,8585.3486328125,,,
20-jun-19 00:00:36,8581.591796875,,,
20-jun-19 00:00:38,8581.591796875,,,
20-jun-19 00:00:40,8562.455078125,,,
20-jun-19 00:00:42,8570.3984375,,,
20-jun-19 00:00:44,8570.3984375,,,
20-jun-19 00:00:46,8565.125,,,
20-jun-19 00:00:48,8566.08984375,,,
20-jun-19 00:00:50,8566.08984375,,,
20-jun-19 00:00:52,8558.4677734375,,,
20-jun-19 00:00:54,8558.2919921875,,,
20-jun-19 00:00:56,8546.794921875,,,
20-jun-19 00:00:58,8546.794921875,,,
20-jun-19 00:01:00,8550.7021484375,,,
20-jun-19 00:01:02,8545.228515625,,,
20-jun-19 00:01:04,8552.4150390625,,,
20-jun-19 00:01:06,8546.80078125,,,
20-jun-19 00:01:08,8544.5732421875,,,
20-jun-19 00:01:10,8542.234375,,,
20-jun-19 00:01:12,8547.642578125,,,
20-jun-19 00:01:14,8538.14453125,,,
20-jun-19 00:01:16,8534.609375,,,
20-jun-19 00:01:18,8532.8359375,,,
20-jun-19 00:01:20,8533.15625,,,
20-jun-19 00:01:22,8527.322265625,,,
20-jun-19 00:01:24,8516.3203125,,,
20-jun-19 00:01:26,8516.3203125,,,
20-jun-19 00:01:28,8529.6611328125,,,
20-jun-19 00:01:30,8529.6611328125,,,
20-jun-19 00:01:32,8535.3173828125,,,
20-jun-19 00:01:34,8541.0830078125,,,
20-jun-19 00:01:36,8582.32421875,,,
20-jun-19 00:01:38,8581.623046875,,,
20-jun-19 00:01:40,8581.0126953125,,,
20-jun-19 00:01:42,8578.8193359375,,,
20-jun-19 00:01:44,8579.3203125,,,
20-jun-19 00:01:46,8583.029296875,,,
20-jun-19 00:01:48,8584.8984375,,,
20-jun-19 00:01:50,8583.50390625,,,
20-jun-19 00:01:52,8586.9541015625,,,
20-jun-19 00:01:54,8586.9541015625,,,
20-jun-19 00:01:56,8586.830078125,,,
20-jun-19 00:01:58,8592.16015625,,,
20-jun-19 00:02:00,8599.1982421875,,,
20-jun-19 00:02:02,8589.5693359375,,,
20-jun-19 00:02:04,8589.5693359375,,,
20-jun-19 00:02:06,8578.46484375,,,
20-jun-19 00:02:08,8584.1689453125,,,
20-jun-19 00:02:10,8580.6416015625,,,
20-jun-19 00:02:12,8577.951171875,,,
20-jun-19 00:02:14,8577.951171875,,,
20-jun-19 00:02:16,8574.720703125,,,
20-jun-19 00:02:18,8564.638671875,,,
20-jun-19 00:02:20,8564.638671875,,,
20-jun-19 00:02:22,8566.2275390625,,,
20-jun-19 00:02:24,8557.2919921875,,,
20-jun-19 00:02:26,8557.2919921875,,,
20-jun-19 00:02:28,8578.53125,,,
20-jun-19 00:02:30,8575.1650390625,,,
20-jun-19 00:02:32,8575.1650390625,,,
20-jun-19 00:02:34,8576.623046875,,,
20-jun-19 00:02:36,8576.73828125,,,
20-jun-19 00:02:38,8576.73828125,,,
20-jun-19 00:02:40,8571.4736328125,,,
20-jun-19 00:02:42,8571.4736328125,,,
20-jun-19 00:02:44,8548.7470703125,,,
20-jun-19 00:02:46,8551.775390625,,,
20-jun-19 00:02:48,8549.994140625,,,
20-jun-19 00:02:50,8543.564453125,,,
20-jun-19 00:02:52,8543.564453125,,,
20-jun-19 00:02:54,8548.416015625,,,
20-jun-19 00:02:56,8548.416015625,,,
20-jun-19 00:02:58,8559.5390625,,,
20-jun-19 00:03:00,8559.5390625,,,
20-jun-19 00:03:02,8554.1572265625,,,
20-jun-19 00:03:04,8553.462890625,,,
20-jun-19 00:03:06,8559.3837890625,,,
20-jun-19 00:03:08,8559.3837890625,,,
20-jun-19 00:03:10,8557.1884765625,,,
20-jun-19 00:03:12,8552.404296875,,,
20-jun-19 00:03:14,8554.5458984375,,,
20-jun-19 00:03:16,8554.5458984375,,,
20-jun-19 00:03:18,8550.7587890625,,,
20-jun-19 00:03:20,8550.6083984375,,,
20-jun-19 00:03:22,8543.251953125,,,
20-jun-19 00:03:24,8548.9208984375,,,
20-jun-19 00:03:26,8548.9208984375,,,
20-jun-19 00:03:28,8542.0693359375,,,
20-jun-19 00:03:30,8559.908203125,,,
20-jun-19 00:03:32,8559.908203125,,,
20-jun-19 00:03:34,8569.5810546875,,,
20-jun-19 00:03:36,8580.19921875,,,
20-jun-19 00:03:38,8590.1796875,,,
20-jun-19 00:03:40,8602.2431640625,,,
20-jun-19 00:03:42,8599.42578125,,,
20-jun-19 00:03:44,8599.42578125,,,
20-jun-19 00:03:46,8597.1962890625,,,
20-jun-19 00:03:48,8593.3173828125,,,
20-jun-19 00:03:50,8594.2255859375,,,
20-jun-19 00:03:52,8597.189453125,,,
20-jun-19 00:03:54,8597.189453125,,,
20-jun-19 00:03:56,8577.4951171875,,,
20-jun-19 00:03:58,8577.044921875,,,
20-jun-19 00:04:00,8577.044921875,,,
